Data table type,filename,column,class,n_unique,n_missing,n_coverage,unique_values,Additional0_Info
EHR,consult_20251208.csv,M3LIFE_no,integer,8991,0,0.8602691,NA,PseudoID to be linked with the SMART dataset
EHR,consult_20251208.csv,SpecialismeNaam,character,7,0,0.8602691,"Neurologie, Cardiologie, Cardiothoracale Chirurgie, Interne Geneeskunde, Neurochirurgie, Nefrologie, Vaatchirurgie","Clinical specialty name, e.g., cardiology, cardiothoracic surgery, etc. "
EHR,consult_20251208.csv,title,character,15,13941,0.8602691,"Kliniek: vervolgconsult, Samenvatting, SEH, Telefonisch consult, Overige aantekeningen, Polikliniek: vervolgconsult, Polikliniek: eerste consult, Multidisciplinair overleg, Operatie verslag, Kliniek: eerste consult, NA, Intercollegiaal consult, Research, Dagbehandeling, Overdracht","Type of consultation note, can be a summary (samenvatting), Emergency department (SEH), or regular consultation note (Kliniek: vervolgconsult)"
EHR,consult_20251208.csv,consult_tekst,character,275339,0,0.8602691,NA,Text contained within the note
EHR,consult_20251208.csv,datediff,integer,11415,0,0.8602691,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,dbc_20251203.csv,M3Life_no,integer,12532,0,0.8617504,NA,PseudoID to be linked with the SMART dataset
EHR,dbc_20251203.csv,Diagnose,character,463,349,0.8617504,NA,"Diagnosis name, will check if we can also get the ICD-code"
EHR,dbc_20251203.csv,Behandeling,character,201,153821,0.8617504,NA,Not relevant
EHR,dbc_20251203.csv,Zorgvraag,character,49,177383,0.8617504,NA,Not relevant
EHR,dbc_20251203.csv,datediff,integer,12759,0,0.8617504,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,diag_20250626.csv,M3LIFE_no,integer,14354,0,0.8581661,NA,PseudoID to be linked with the SMART dataset
EHR,diag_20250626.csv,diag_omschrijving,character,9024,0,0.8581661,NA,"Diagnosis name, will check if we can also get the ICD-code"
EHR,diag_20250626.csv,datediff,integer,13571,0,0.8581661,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,ecg_measmatrix_20251208.csv,M3LIFE_no,integer,15390,0,0.8537357,NA,PseudoID to be linked with the SMART dataset
EHR,ecg_measmatrix_20251208.csv,QRS_Onset,integer,160,0,0.8537357,NA,"Do not use, indicators in the measured ECG tracing where the wave starts"
EHR,ecg_measmatrix_20251208.csv,QRS_Offset,integer,143,0,0.8537357,NA,"Do not use, indicators in the measured ECG tracing where the wave stops"
EHR,ecg_measmatrix_20251208.csv,T_Onset,integer,228,0,0.8537357,NA,"Do not use, indicators in the measured ECG tracing where the wave starts"
EHR,ecg_measmatrix_20251208.csv,T_Offset,integer,392,0,0.8537357,NA,"Do not use, indicators in the measured ECG tracing where the wave stops"
EHR,ecg_measmatrix_20251208.csv,P_Onset,integer,204,0,0.8537357,NA,"Do not use, indicators in the measured ECG tracing where the wave starts"
EHR,ecg_measmatrix_20251208.csv,P_Offset,integer,201,0,0.8537357,NA,"Do not use, indicators in the measured ECG tracing where the wave stops"
EHR,ecg_measmatrix_20251208.csv,NumQRSComplexes,integer,39,0,0.8537357,NA,Number of QRS complexes present in the measured signal
EHR,ecg_measmatrix_20251208.csv,QRS_Duration,integer,137,0,0.8537357,NA,QRS duration measured automatically from the 12-lead ECG
EHR,ecg_measmatrix_20251208.csv,QT_Interval,integer,294,0,0.8537357,NA,QT duration measured automatically from the 12-lead ECG
EHR,ecg_measmatrix_20251208.csv,QTc_Bazett,integer,479,0,0.8537357,NA,Corrected QT time according to the Bazett function measured automatically from the 12-lead ECG
EHR,ecg_measmatrix_20251208.csv,VentRate,integer,201,0,0.8537357,NA,Ventricular rate measured automatically from the 12-lead ECG
EHR,ecg_measmatrix_20251208.csv,AvgRRInterval,integer,811,0,0.8537357,NA,Average RR (QRS-to-QRS timing) measured automatically from the 12-lead ECG
EHR,ecg_measmatrix_20251208.csv,datediff,integer,14972,0,0.8537357,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,echo_20250626.csv,M3LIFE_no,integer,4768,0,0.854631,NA,PseudoID to be linked with the SMART dataset
EHR,echo_20250626.csv,MeasName_ECHO,character,386,0,0.854631,NA,"See tab EchoResults for additional information, checked it out, but with a frequency <500 have discarded those as they are less measured, and thus more depending on clinical indication when measured. "
EHR,echo_20250626.csv,Value_ECHO,numeric,492820,0,0.854631,NA,Values for the measurements
EHR,echo_20250626.csv,UnitName_ECHO,character,25,0,0.854631,NA,Units for the measurements
EHR,echo_20250626.csv,datediff,integer,6414,0,0.854631,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,hos_20251209.csv,M3LIFE_no,integer,12227,0,0.8599867,NA,PseudoID to be linked with the SMART dataset
EHR,hos_20251209.csv,hos_nr,integer,63,0,0.8599867,NA,"Table for the hospitalizations for each of the patients included. Please note that based on M3LIFE_no and hos_nr, this and the hos_mut can be linked so also the specialty can be provided. "
EHR,hos_20251209.csv,datediff,integer,13099,0,0.8599867,NA,"Date difference with SMART inclusion timing, relative to start of the hopsitalization. Negatives are before, positives are afterwards. "
EHR,hos_20251209.csv,hos_duur,integer,157,0,0.8599867,NA,duration of the hospitalization in days
EHR,hos_mut_20251209.csv,M3LIFE_no,integer,12227,0,0.8634348,NA,PseudoID to be linked with the SMART dataset
EHR,hos_mut_20251209.csv,specialisme_omschrijving,character,49,141,0.8634348,NA,Medical specialty
EHR,hos_mut_20251209.csv,locatie,character,186,2,0.8634348,NA,"Location in the hospital, indates the department itself"
EHR,hos_mut_20251209.csv,hos_nr,integer,63,0,0.8634348,NA,Count of the hospitalisation for specific patients
EHR,hos_mut_20251209.csv,datediff,integer,15720,0,0.8634348,NA,"Date difference with SMART inclusion timing, relative to start of the hopsitalization. Negatives are before, positives are afterwards. "
EHR,hos_mut_20251209.csv,hos_duur,integer,112,0,0.8634348,NA,duration of the hospitalization in days
EHR,lab_ezis_20250709.csv,M3Life_no,integer,11298,0,0.8562014,NA,PseudoID to be linked with the SMART dataset
EHR,lab_ezis_20250709.csv,lab_testcode,character,915,0,0.8562014,NA,"See tab LabResults for additional information, checked it out, but with a frequency <1000 (accounting for 422 lab measurements) it would not be beneficial to use as these are very specific and on narrow clinical indications. "
EHR,lab_ezis_20250709.csv,lab_result,numeric,12059,253181,0.8562014,NA,"Numerical test results, please note that either a numerical or character test result should be present. In some cases, both are present, please use the character one then, as it indicates >number or <number, but from the numerical test result it is not clear what is over or under. "
EHR,lab_ezis_20250709.csv,lab_result_txt,character,1304,2969426,0.8562014,NA,Test results stored as text. Please see comment above in numerical test result
EHR,lab_ezis_20250709.csv,lab_testunit,character,84,270930,0.8562014,NA,Unit for the test results. 
EHR,lab_ezis_20250709.csv,material,character,5,389,0.8562014,"Bloed, Urine portie, NA, Urine verzamel, Liquor",Material in which the test was done
EHR,lab_ezis_20250709.csv,datediff,integer,11486,0,0.8562014,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,med_20250709.csv,M3LIFE_no,integer,11864,0,0.8618175,NA,PseudoID to be linked with the SMART dataset
EHR,med_20250709.csv,med_genNaam,character,629,0,0.8618175,NA,Medication name
EHR,med_20250709.csv,med_ZIatc,character,681,0,0.8618175,NA,Medication ATC code
EHR,med_20250709.csv,klinisch,integer,2,0,0.8618175,"1, 0",Prescribed in-hospital (1) or at out-patiënt clinic (0)
EHR,med_20250709.csv,datediff,integer,11742,0,0.8618175,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,med_20250709.csv,med_duur,integer,4602,63874,0.8618175,NA,Duration of the medication administration. If NA no end date was set. 
EHR,meting_20251203.csv,M3LIFE_no,integer,15831,0,0.8519964,NA,PseudoID to be linked with the SMART dataset
EHR,meting_20251203.csv,label,character,38,0,0.8519964,NA,"See tab MetingResults for more information on the measurements. Please note that mechanical ventilation measurements and questionare measurements are in there, but they are not standard assessed so unrealiable to use. "
EHR,meting_20251203.csv,data1,character,4492,0,0.8519964,NA,"in case of !na data2 and/or data3 diastolic blood pressure, rest indicated with the measurement label/name"
EHR,meting_20251203.csv,data2,integer,434,21858902,0.8519964,NA,"systolic blood pressure (in case of NIBP, NIBPLBA, NIBPRBA, ABP, PAP)"
EHR,meting_20251203.csv,data3,numeric,336,21866366,0.8519964,NA,"mean blood pressure (in case of NIBP, NIBPLBA, NIBPRBA, ABP, PAP)"
EHR,meting_20251203.csv,eenheid,character,10,514355,0.8519964,"kg, bpm, NA, %, �C, /min, kg/m�, cm, mmol/l, cmH2O",Unit for the test results. 
EHR,meting_20251203.csv,Omschrijving,character,38,0,0.8519964,NA,See tab MetingResults for translations of these descriptions. They are linked to the labels
EHR,meting_20251203.csv,SOURCETYPE,character,8,5,0.8519964,"K, U, M, N, V, D, E, NA",Need to check with Data manager
EHR,meting_20251203.csv,datediff,integer,11811,0,0.8519964,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,mri_verslag_20250626.csv,M3LIFE_no,integer,1679,0,0.8556505,NA,PseudoID to be linked with the SMART dataset
EHR,mri_verslag_20250626.csv,rad_report,character,1593,0,0.8556505,NA,Radiology report
EHR,mri_verslag_20250626.csv,verrichting_oms,character,5,0,0.8556505,"EXTRA BH MRI, MRI HART + ADENOSINE STRESS, MRI HART, MRI THORAX, MRI HART + REGADENASON STRESS","Type of radiology measurement performed, including MRI, CT"
EHR,mri_verslag_20250626.csv,datediff,integer,1602,0,0.8556505,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,ok_20250626.csv,M3LIFE_no,integer,7548,0,0.8600393,NA,PseudoID to be linked with the SMART dataset
EHR,ok_20250626.csv,OMSCHR,character,268,6,0.8600393,NA,Type of Operation/procedure
EHR,ok_20250626.csv,datediff,integer,6319,0,0.8600393,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,ok_verslag_20250626.csv,M3LIFE_no,integer,4531,0,0.8546844,NA,PseudoID to be linked with the SMART dataset
EHR,ok_verslag_20250626.csv,STELLING,character,177,0,0.8546844,NA,Questions filled from the report of operation/procedure to be linked with OK csv based on the pseudo ID and datediff
EHR,ok_verslag_20250626.csv,Xantwoord,character,7583,120,0.8546844,NA,Answers filled from the report of operation/procedure to be linked with OK csv based on the pseudo ID and datediff
EHR,ok_verslag_20250626.csv,datediff,integer,3861,0,0.8546844,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,radiologie_verslag_20251208.csv,M3LIFE_no,integer,10893,0,0.8565204,NA,PseudoID to be linked with the SMART dataset
EHR,radiologie_verslag_20251208.csv,verr_oms,character,63,0,0.8565204,NA,Type of Operation/procedure
EHR,radiologie_verslag_20251208.csv,verslagtekst,character,76719,75,0.8565204,NA,Radiology report
EHR,radiologie_verslag_20251208.csv,status,character,5,0,0.8565204,"final, appended, partial, cancelled, corrected",Status of the radiology report
EHR,radiologie_verslag_20251208.csv,datediff,integer,12749,0,0.8565204,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,uitgaandebrief_20251208.csv,M3LIFE_no,integer,8472,0,0.8599323,NA,PseudoID to be linked with the SMART dataset
EHR,uitgaandebrief_20251208.csv,afdeling,character,34,0,0.8599323,NA,Medical specialty
EHR,uitgaandebrief_20251208.csv,type_brief,character,2,0,0.8599323,"Klinische Brief, Poliklinische Brief","Type of letter, klinische brief = inpatient, poliklinische brief = outpatient"
EHR,uitgaandebrief_20251208.csv,inhoud,character,61142,111,0.8599323,NA,Tekst contained within the letter
EHR,uitgaandebrief_20251208.csv,datediff,integer,9386,0,0.8599323,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
EHR,verr_20251203.csv,M3LIFE_no,integer,2989,0,0.859217,NA,PseudoID to be linked with the SMART dataset
EHR,verr_20251203.csv,verr_omschrijving,character,343,0,0.859217,NA,Type of procedure
EHR,verr_20251203.csv,datediff,integer,7172,0,0.859217,NA,"Date difference with SMART inclusion timing. Negatives are before, positives are afterwards. "
UCN,UCN_ALG_1000008241_UCORBIOFORM.csv,,,,,,,"Warning: files are not 'simple to read as csv' as 1) there are newlines in cells creating new lines in the csv file, which should just be included in te old ones. There should be on each line 204 semicolons for 205 rows. And 2), there are additional semicolons in the tekst itself, then it is contained within the cell and should be fine with just the ';""blabla;blabla"";. Was not able to fix this yet. "
