MeasName_ECHO,UnitName_ECHO,Counts,Name
% IVS thick,%,163,
% LVPW thick,%,107,
Dimensieloze index,%,2949,Dimension less index; ratio of the velocity-time integral of the left ventricular outflow tract (LVOT-VTI) to that of the aortic valve jet (AV VTI)
ED Current (HM)_phl,%,44,
ED Default (HM)_phl,%,44,
EF (est.),%,1,
EF (HM)_phl,%,44,
EF_3D-VOL,%,166,
EF(3DQ)_phl,%,1,
EF(3DQA)_phl,%,431,
EF(AP2)(a2DQ)_phl,%,3,
EF(AP2)(aCMQ)_phl,%,6,
EF(AP4)(a2DQ)_phl,%,42,
EF(AP4)(aCMQ)_phl,%,20,
EF(Bi-Plane)(a2DQ)_phl,%,4,
EF(Bi-Plane)(aCMQ)_phl,%,7,
EF(cubed),%,6886,Ejection Fraction
EF(MOD-bp),%,3449,Ejection Fraction
EF(MOD-sp2),%,3496,Ejection Fraction
EF(MOD-sp4),%,3965,Ejection Fraction
EF(sp-el),%,3,
EF(sp2-el),%,3487,Ejection Fraction
EF(sp4-el),%,3950,Ejection Fraction
EF(Teich),%,6886,Ejection Fraction
ES Current (HM)_phl,%,44,
ES Default (HM)_phl,%,44,
FS,%,6886,Fractional Shortening
G peak SL Full (2CH),%,90,
G peak SL Full (4CH),%,90,
G peak SL Full (APLAX),%,92,
G peak SL Full (Avg),%,88,
Global Long Strain(aCMQ)_phl,%,6,
IVC Collaps,%,1624,Inferior Vena Cava collaps
LAEF (HM),%,27,
Long Strain(AP2)(aCMQ)_phl,%,7,
Long Strain(AP3)(aCMQ)_phl,%,8,
Long Strain(AP4)(aCMQ)_phl,%,21,
LV 2d Auto (4CH) GE,%,30,
LV 2D Auto Biplane,%,26,
LVEF (MOD) 4CH,%,3,
LVEF (MOD) BP,%,3,
LVEF 2D Auto (2CH),%,52,
LVEF 4D Auto,%,438,
LVLd %diff,%,3464,Left Ventricular Length diastole % difference
LVLs %diff,%,3434,Left Ventricular Length systole % difference
RV FAC_phl,%,12,
Tmsv 12-DIF (%),%,552,Time to the point of minimal regional systolic volume in 12 segments maximal difference
Tmsv 12-SD (%),%,552,Time to the point of minimal regional systolic volume in 12 segments standard deviation
Tmsv 16-DIF (%),%,552,Time to the point of minimal regional systolic volume in 16 segments maximal difference
Tmsv 16-SD (%),%,552,Time to the point of minimal regional systolic volume in 16 segments standard deviation
Tmsv 3-5 (%)_phl,%,413,
Tmsv 3-6 (%)_phl,%,413,
Tmsv 6-DIF (%),%,552,Time to the point of minimal regional systolic volume in 66 segments maximal difference
Tmsv 6-SD (%),%,552,Time to the point of minimal regional systolic volume in 6 segments standard deviation
Ao Annulus/BSA,1,18,
Ao asc Diam/BSA,1,913,Indexed Ascending aorta diameter
Ao Sinus Vals/BSA,1,109,
Aorta root/ BSA,1,425,
AV VR_phl,1,6,
IVS/LVPW,1,9334,Intraventricular Septum and Left Ventricular Posterior Wall thickness ratio
LA/Ao,1,3701,Left Atrium to Aortic Root ratio
LPulV S/D ratio,1,3647,pulmonary vein (PV) S/D ratio (systolic to diastolic velocity ratio)
LV Spl 4D Auto,1,392,
LVF dP/dt,1,116,
MV E/A,1,9976,"Mitral Valve Early (E) to Late (A) wave ratio,"
Pulm S/D,1,92,
"RF(MV,LVOT)",1,6,
RWT,1,1351,Relative Wall Thickness
TDI E/e',1,8512,Tissue Doppler Imaging Early diastolic mitral annular velocity / Early diastolic transmitral flow velocity
TDI E/e' Gem.,1,8366,Mean Tissue Doppler Imaging Early diastolic mitral annular velocity / Early diastolic transmitral flow velocity
TDI E/e' Lateraal,1,8488,Lateral Tissue Doppler Imaging Early diastolic mitral annular velocity / Early diastolic transmitral flow velocity
HR (HM)_phl,1/min,44,
Aortic HR,BPM,256,
BZI_Heart_Rate,BPM,71,
Mitral HR,BPM,4,
MM HR,BPM,144,
Vcf mean,circ/s,2,
ACS,cm,26,
Ao root diam,cm,5343,Aortic root diameter
Ao root diam(2D),cm,1459,Aortic root diameter
Ao sinus diam,cm,112,
Ao Sinus Diam_phl,cm,3,
Ao V2 VTI,cm,3963,Aortic Velocity Time Integral measured through the valve
Aorta abd diam,cm,170,
Aortic arch,cm,608,Aortic arch diameter
AoV annu diam,cm,18,
asc Aorta,cm,2405,Ascending aorta diameter
ASD diam,cm,2,
BZI_Metric_Height,cm,9417,Length of person
Circ,cm,425,
desc Aorta,cm,124,
EPSS,cm,13,
IVC diam exp,cm,2244,Inferior Vena Cava diameter expiration
IVC diam insp,cm,1640,Inferior Vena Cava diameter inspiration
IVSd,cm,9538,Interventricular Septum in end-diastole (IVSd)
IVSs,cm,168,
LA dimension,cm,4255,Left Atrium Dimension
LA Length (A4C),cm,3422,Left Atrium Length 
LAs major,cm,442,
LAs minor,cm,410,
Length,cm,3884,Length unknown of which chamber
LV Excursion - Avg,cm,552,Left ventricular excursion (movement) average
LV Excursion - Max,cm,552,Left ventricular excursion (movement) maximum
LV Excursion - Min,cm,552,Left ventricular excursion (movement) minimum
LV Excursion - SD,cm,552,Left ventricular excursion (movement) standard deviation
LV V1 VTI,cm,3916,Left Ventricular Outflow Tract Velocity-Time Integral
LVIDd,cm,10160,Left Ventricular Internal Diameter in diastole
LVIDs,cm,6895,Left Ventricular Internal Diameter in systole
LVLd ap2,cm,3524,Left Ventricular Length diastole
LVLd ap4,cm,4042,Left Ventricular Length diastole
LVLd apical,cm,5,
LVLs ap2,cm,3499,Left Ventricular Length systole
LVLs ap4,cm,3965,Left Ventricular Length systole
LVOT diam,cm,1357,Left Ventricular Outflow Tract Diameter
LVPWd,cm,9687,Left Ventricular Posterior Wall thickness in diastole
