lab_testcode,Local Name,Counts
125OH2VitD-BL,"1,25-di-OH-Vitamine D",171
17aOHProgesteron-BL,17-OH-Progesteron,20
25OHVitD-BL,25-OH-Vitamine D,6442
3OHBoterzuur-BL,3-OH-Boterzuur,12
4N_acSulfamethoxa-BL,4N-acsulfamethoxazol,27
5Flucytosine-BL,5-Flucytosine,26
5FlucytosineDS-BL,5-Flucytosine (DS),32
5HIAA-UV,5-HIAA,48
5HIAAVol-UV,5-HIAA /24u,44
a1Antitrypsine-BL,alfa1-Antitrypsine,68
AA_Aggr1.5-BL,Ara. Aggregatie 1.5,24
ABObloedgroep-BL,ABO Bloedgroep,17090
aCardioIgG-BL,anti-Cardiolipine IgG,546
aCardioIgM-BL,anti-Cardiolipine IgM,546
ACE-BL,ACE,379
Acetazolamide-UP,Acetazolamide,10
ACReceptor-BL,anti-Acetylchol.receptor,60
ActBicarbArt-BL,Actueel Bicarbonaat (Art.),22037
ActBicarbJugul-BL,Actuele Bicarbonaat (Jugul.),51
ActBicarbMix-BL,Actuele Bicarbonaat (Mix.),1200
ActBicarbVen-BL,Actuele Bicarbonaat (Ven.),6177
ACTH-0h-BL,ACTH (+0:00 h),58
ACTH-BL,ACTH,110
ACTHR-BL,ACT+,8071
ACTLR-BL,ACT-LR,29
AdalimumabIgG-BL,Adalimumab IgG,20
AdalimumabIgGDS-BL,Adalimumab IgG (DS),19
ADP_Aggr2.5-BL,ADP Aggregatie 2.5,24
ADP_Aggr5.0-BL,ADP Aggregatie 5.0,13
ADPtrombocyten-BL,ADP trombocyten,25
Adrenaline-BL,Adrenaline,57
aFactorIX-BL,anti-Factor IX,68
aFactorVIII-BL,anti-Factor VIII,210
AFisoBotRel-BL,AF-isoÎnz. bot,25
AFisoDarmRel-BL,AF-isoÎnz. darm/darmvariant,14
AFisoLever1Rel-BL,AF-isoÎnz. lever,25
AFisoLever2Rel-BL,AF-isoÎnz. lever 2,20
aFoetoprot_DXI-BL,alfa-FoetoproteÔne (OUD),18
aFoetoprot-BL,alfa-FoetoproteÔne,807
Agranulatie-BL,Agranulatie,21
AH-Screening-BL,AH-Screening,371
AH-ScreeningInfo-BL,AH-Screening Info,310
aHCV-BL,anti-HCV,10
aHeparinePF4-BL,anti-Heparine PF4,44
ALAT-BL,ALAT,69212
Albu_kreat_ratio-UP,Albumine / creat ratio,15229
Albumine-BL,Albumine,21756
Aldosteron-BL,Aldosteron,2664
Aldosteron-UV,Aldosteron /24u,12
Algemeen-BL,Diverse bepalingen,25
