Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
1,studienr,SMART Studienummer, ,    ., , , 
2,geslacht,Geslacht, ,    1,Man, ,9
2,geslacht,Geslacht, ,    2,Vrouw, ,9
2,geslacht,Geslacht, ,    9,Missend, ,9
3,IncDatum,Date of inclusion screening, ,    ., , , 
4,leeftijd,Leeftijd (aantal voltooide jaren), ,  999,Missend, ,999.0
5,opleiding,Hoogste opleiding, ,   -1,Vraag niet gesteld voor november 2004, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    1,Lager onderwijs, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    2,MAVO, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    3,HAVO/VWO, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    4,LBO, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    5,MBO, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    6,HBO, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    7,Wetenschappelijk onderwijs, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    8,Overige, ,"-1, 9"
5,opleiding,Hoogste opleiding, ,    9,Onbeantwoord, ,"-1, 9"
6,RespLand,Geboorteland; respondent, ,   -1,Vraag niet gesteld voor november 2004, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    1,Afghanistan, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    2,Algerije, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    3,Angola, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    4,Argentinië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    5,Australië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    6,België, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    7,Brazilië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    8,Bulgarije, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,    9,Canada, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   10,Chili, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   11,China, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   12,Colombia, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   13,Congo (Democratische Republiek), ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   14,Denemarken, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   15,Dominicaanse Republiek, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   16,Duitsland, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   17,Egypte, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   18,Ethiopië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   19,Filippijnen, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   20,Finland, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   21,Frankrijk, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   22,Ghana, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   23,Griekenland, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   24,Guinee, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   25,Guyana, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   26,Hongarije, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   27,Hongkong, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   28,Ierland, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   29,India, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   30,Indonesië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   31,Irak, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   32,Iran, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   33,Italië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   34,Japan, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   35,Joegoslavië (voormalig), ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   36,Kaapverdië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   37,Kenia, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   38,Libanon, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   39,Liberia, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   40,Maleisië, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   41,Marokko, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   42,Mexico, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   43,Nederland, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   44,Nederlandse Antillen - Aruba, ,"-1, 99"
6,RespLand,Geboorteland; respondent, ,   45,Nieuw-Zeeland, ,"-1, 99"
